sr no.,Wn,LL,PI,e0,Gs,cc
348,23.5,37,16,0.596,2.71,0.05
349,33.7,36,15,0.835,2.67,0.166
350,21.6,32,12,0.665,2.69,0.166
351,30.6,41,17,0.727,2.6,0.173
352,32.1,44,26,0.761,2.57,0.199
353,28.7,43,16,0.82,2.71,0.12
354,40.7,40,18,1.045,2.66,0.259
355,33.1,50,27,0.771,2.66,0.176
356,29.9,48,25,0.756,2.65,0.163
357,38.5,68,42,0.884,2.56,0.322
358,28,42,24,0.657,2.54,0.209
359,39.3,40,17,0.931,2.62,0.209
360,39.4,32,8,0.979,2.67,0.266
361,28.9,27,6,0.817,2.66,0.176
362,28.9,57,35,1.031,2.61,0.306
363,28.9,47,25,1.137,2.54,0.402
364,20.1,26,8,0.676,2.65,0.113
365,23.8,46,25,0.647,2.63,0.123
366,28,33,12,0.703,2.68,0.103
367,34.5,45,26,0.808,2.5,0.319
368,25.2,30,11,0.681,2.63,0.163
369,20,34,13,0.693,2.64,0.183
370,19.5,34,12,0.609,2.57,0.189
371,31.2,37,16,0.87,2.73,0.209
372,23.9,31,12,0.621,2.61,0.156
373,34.2,44,25,0.816,2.54,0.239
374,21.6,39,21,0.552,2.61,0.11
375,28.8,32,11,0.703,2.64,0.206
376,25.5,29,9,0.643,2.56,0.126
377,45.7,52,31,1.132,2.64,0.379
378,42.1,34,10,1.013,2.59,0.355
379,39.2,57,34,1.091,2.65,0.302
380,35,37,14,0.928,2.71,0.233
381,24.6,34,14,0.676,2.63,0.226
382,64.1,64,31,1.647,2.57,0.53
383,31,33,15,0.786,2.63,0.193
384,25.2,56,35,0.569,2.44,0.146
385,14.5,44,21,0.476,2.64,0.126
386,22.6,28,7,0.598,2.65,0.173
387,27.2,29,10,0.77,2.74,0.183
388,23,37,16,0.541,2.52,0.106
389,20.5,32,11,0.557,2.64,0.106
390,22.8,28,7,0.619,2.63,0.153
391,46.4,31,10,1.232,2.57,0.465
